Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Daniel Parejo,es ESP,MF,33.0,36.5,113,3.1,84,26,1,1,1,0,11,0.3,8,2,0,1,0,0
Pau Torres,es ESP,DF,25.0,33.9,41,1.21,34,0,0,4,3,0,1,0.03,0,0,0,0,1,0
Yeremi Pino,es ESP,"FW,MF",19.0,27.2,87,3.2,61,1,8,11,6,0,9,0.33,7,0,0,2,0,0
Samuel Chukwueze,ng NGA,"FW,MF",23.0,26.0,110,4.23,75,4,24,2,4,1,15,0.58,9,0,5,0,1,0
Raúl Albiol,es ESP,DF,36.0,23.5,12,0.51,12,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pepe Reina,es ESP,GK,39.0,22.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Juan Foyth,ar ARG,DF,24.0,21.8,29,1.33,28,1,0,0,0,0,2,0.09,2,0,0,0,0,0
Étienne Capoue,fr FRA,MF,34.0,21.7,46,2.12,33,1,2,4,4,2,4,0.18,3,0,0,1,0,0
Alfonso Pedraza,es ESP,DF,26.0,18.1,39,2.15,30,0,5,3,0,1,5,0.28,4,0,1,0,0,0
Alex Baena,es ESP,"MF,FW",21.0,21.6,79,3.65,58,0,8,8,5,0,8,0.37,5,0,0,2,1,0
Nicolas Jackson,sn SEN,FW,21.0,17.8,47,2.65,31,1,8,5,2,0,14,0.79,4,0,7,2,1,0
Aïssa Mandi,dz ALG,DF,30.0,16.2,9,0.55,8,1,0,0,0,0,2,0.12,2,0,0,0,0,0
Alberto Moreno,es ESP,DF,30.0,14.4,28,1.94,24,2,1,1,0,0,2,0.14,2,0,0,0,0,0
Gerónimo Rulli,ar ARG,GK,30.0,14.0,1,0.07,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gerard Moreno,es ESP,FW,30.0,13.7,48,3.52,35,0,6,4,2,1,5,0.37,4,0,0,1,0,0
Giovani Lo Celso,ar ARG,"MF,FW",26.0,12.5,60,4.79,45,4,2,4,5,0,3,0.24,3,0,0,0,0,0
Kiko Femenía,es ESP,DF,31.0,12.6,24,1.9,23,0,0,0,1,0,0,0.0,0,0,0,0,0,0
José Luis Morales,es ESP,"FW,MF",35.0,13.5,29,2.16,19,0,5,4,1,0,4,0.3,2,0,0,2,0,0
Ramón Terrats,es ESP,MF,21.0,9.1,20,2.21,13,2,2,0,2,1,1,0.11,1,0,0,0,0,0
Francis Coquelin,fr FRA,MF,31.0,8.3,9,1.09,8,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Manu Trigueros,es ESP,MF,30.0,9.2,17,1.85,16,0,0,0,1,0,2,0.22,2,0,0,0,0,0
Arnaut Danjuma,nl NED,FW,25.0,5.3,13,2.44,7,0,1,1,3,1,0,0.0,0,0,0,0,0,0
Johan Mojica,co COL,DF,29.0,7.1,13,1.82,11,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Jorge Cuenca,es ESP,DF,22.0,5.6,5,0.89,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Filip Jørgensen,dk DEN,GK,20.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Manu Morlanes,es ESP,MF,23.0,1.8,2,1.14,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Haissem Hassan,fr FRA,"FW,MF",20.0,0.6,1,1.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mamadou Fall,sn SEN,DF,19.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fernando Niño,es ESP,"MF,FW",21.0,0.2,1,4.09,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pascu,es ESP,"DF,FW",19.0,0.1,1,9.0,1,0,0,0,0,0,1,9.0,1,0,0,0,0,0
Diego Collado,es ESP,FW,21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alberto Del Moral,es ESP,MF,22.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,28.4,38.0,884,23.26,665,45,73,53,40,8,89,2.34,59,2,13,11,4,0
Opponent Total,,,27.2,38.0,808,21.26,579,64,49,49,41,26,71,1.87,42,8,8,5,5,3
