Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Iñaki Williams,gh GHA,FW,28.0,31.5,85,2.7,62,0,12,6,4,1,9,0.29,6,0,1,1,1,0,Matches
Óscar de Marcos,es ESP,DF,33.0,31.3,75,2.39,63,7,1,1,1,2,9,0.29,8,0,1,0,0,0,Matches
Nico Williams,es ESP,FW,20.0,29.5,105,3.56,66,12,18,4,4,1,9,0.31,5,0,2,1,1,0,Matches
Oihan Sancet,es ESP,MF,22.0,28.1,95,3.38,76,1,7,5,5,1,6,0.21,4,0,0,1,1,0,Matches
Unai Simón,es ESP,GK,25.0,30.5,2,0.07,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mikel Vesga,es ESP,MF,29.0,28.6,54,1.89,49,0,0,3,1,1,6,0.21,3,0,0,1,1,1,Matches
Yuri Berchiche,es ESP,DF,32.0,26.7,59,2.21,47,6,2,3,1,0,2,0.07,1,0,0,0,1,0,Matches
Yeray Álvarez,es ESP,DF,27.0,25.9,28,1.08,24,1,0,1,1,1,2,0.08,2,0,0,0,0,0,Matches
Daniel Vivian,es ESP,DF,23.0,26.4,17,0.64,13,1,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Álex Berenguer,es ESP,FW,27.0,25.5,98,3.84,48,29,9,5,4,3,4,0.16,2,0,1,1,0,0,Matches
Iker Muniain,es ESP,"MF,FW",29.0,18.8,108,5.75,65,31,1,2,9,0,12,0.64,8,2,0,0,2,0,Matches
Dani García,es ESP,MF,32.0,16.5,23,1.39,20,0,0,0,1,2,4,0.24,4,0,0,0,0,0,Matches
Gorka Guruzeta,es ESP,FW,25.0,15.8,39,2.47,29,0,1,6,3,0,2,0.13,1,0,0,1,0,0,Matches
Iñigo Martínez,es ESP,DF,31.0,14.9,13,0.87,10,0,0,3,0,0,1,0.07,1,0,0,0,0,0,Matches
Iñigo Lekue,es ESP,DF,29.0,14.7,30,2.04,24,4,1,0,1,0,3,0.2,2,1,0,0,0,0,Matches
Aitor Paredes,es ESP,DF,22.0,9.5,5,0.52,3,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Ander Herrera,es ESP,MF,32.0,7.7,23,2.97,20,0,0,1,1,1,1,0.13,1,0,0,0,0,0,Matches
Julen Agirrezabala,es ESP,GK,21.0,7.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Raúl García,es ESP,"FW,MF",36.0,10.7,33,3.07,18,0,2,10,1,2,7,0.65,5,0,1,1,0,0,Matches
Oier Zarraga,es ESP,MF,23.0,9.5,25,2.65,17,4,0,3,0,1,0,0.0,0,0,0,0,0,0,Matches
Mikel Balenziaga,es ESP,DF,34.0,1.3,1,0.78,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ander Capa,es ESP,DF,30.0,1.2,5,4.17,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Asier Villalibre,es ESP,FW,24.0,1.1,3,2.73,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Unai Vencedor Paris,es ESP,MF,21.0,2.1,3,1.4,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Adu Ares,es ESP,"FW,MF",20.0,0.9,12,13.01,7,0,2,1,2,0,0,0.0,0,0,0,0,0,0,Matches
Jon Morcillo,es ESP,"FW,MF",23.0,0.8,4,5.45,4,0,0,0,0,0,1,1.36,1,0,0,0,0,0,Matches
Squad Total,,,27.4,38.0,945,24.87,678,96,56,59,40,16,78,2.05,54,3,6,7,7,1,
Opponent Total,,,27.3,38.0,675,17.76,470,65,42,42,41,15,69,1.82,45,3,7,5,6,3,
